,image_ID,individual_ID,x_head,y_head,x_tail,y_tail,z_head,z_tail,body_length,heading_x,heading_y,heading_z,x_mid,y_mid,z_mid,dist_from_centre,NND,heading_nn,heading_rel_to_group
0,2,A,105,338,357,348,-59.748741149902344,-706.2296142578125,693.9319269887832,-0.3631480123612663,-0.0144106354111613,0.9316200162647366,231.0,343.0,-382.9891777038574,1.7969029028857852,1.338069807291869,0.7493437306345707,0.3945290006704765
1,2,B,547,476,727,464,87.11292266845703,-6.317394256591797,203.15812590372815,-0.8860093545325267,0.0590672903021684,0.4598896377362884,637.0,470.0,40.39776420593262,0.6542890104994566,1.338069807291869,0.7493437306345707,0.8874494349707881
2,2,C,906,164,1068,171,-582.90185546875,-499.3686828613281,182.40282598101743,-0.8881441344382418,-0.0383765984016524,-0.4579598597672775,987.0,167.5,-541.1352691650391,1.3948610707864304,1.6566738288745222,0.5740262156007414,0.8694905144451681
3,2,parrotfish,1689,796,2022,1050,555.5377197265625,1211.915771484375,778.6123212673824,-0.4276839588897859,-0.326221398072089,-0.8430101012136519,1855.5,923.0,883.7267456054688,3.025663167376139,3.454649998690079,-0.0280286357180266,0.4349784801188051
0,1,A,750,435,697,429,295.9081726074219,338.5535583496094,68.29076749532084,0.7760931959599292,0.0878596070898033,-0.624467805916949,723.5,432.0,317.2308654785156,6.57018581476005,4.417925922329405,0.9566190180357456,0.8979903568129474
1,1,B,903,335,864,337,-248.1115264892578,-171.19703674316406,86.26029638774702,0.4521199396845548,-0.0231856379325412,-0.8916557555095439,883.5,336.0,-209.65428161621097,4.414950461070098,3.438597527249882,0.989452639266844,0.6314820290978143
2,1,C,1005,422,960,419,16.749494552612305,82.34202575683594,79.6013828383468,0.5653168122893704,0.037687787485958,-0.8240124588969502,982.5,420.5,49.54576015472412,2.390404568440721,2.663259204287581,0.9836814575220092,0.73211975834995
3,1,D,1223,447,1167,436,89.57247924804688,149.06370544433594,82.43910476429272,0.6792892785543151,0.133431822573169,-0.7216384307712279,1195.0,441.5,119.3180923461914,1.4410793940003863,2.663259204287581,0.9836814575220092,0.82899749586022
4,1,E,1422,493,1364,498,73.76371002197266,-69.53878784179688,154.6758090135483,0.3749778350596484,-0.0323256754361765,0.9264700070275206,1393.0,495.5,2.11246109008789,2.680912797937959,2.548219945421195,0.999591716565448,0.1601602240413787
5,1,G,1628,473,1566,475,138.5491943359375,-5.924321174621582,157.22784958136313,0.3943321756615128,-0.0127203927632746,0.9188799305926788,1597.0,474.0,66.31243658065796,5.0630101150324895,0.7927302717178073,0.9927955463711088,0.1823367498128474
6,1,H,1642,437,1578,435,146.4655303955078,106.48170471191406,75.48977623689191,0.8477969228463966,0.0264936538389498,0.5296588184090235,1610.0,436.0,126.47361755371094,5.339290840089916,0.8575621068762671,0.8206694537200734,0.7112649334003954
7,1,I,1630,413,1568,415,90.33026885986328,-16.599775314331055,123.62052558978688,0.5015348357742481,-0.0161785430894918,0.8649861636167363,1599.0,414.0,36.86524677276611,5.0136645312916155,0.7927302717178073,0.9927955463711088,0.2979760596288877
8,1,S,187,456,81,458,130.3638153076172,21.977588653564453,151.6165364605843,0.6991321822442288,-0.0131911732498911,0.7148707468477876,134.0,457.0,76.17070198059082,12.413965821260096,7.556324569404395,0.0950189916193256,0.52298716005055
9,1,T,1328,628,1285,601,212.12644958496097,430.9411010742187,224.62825224438123,0.1914273897889689,0.1201985935884223,-0.9741190135388732,1306.5,614.5,321.53377532958984,4.675353482650037,3.4206994707674077,0.8490346072331282,0.4084980796711882
10,1,U,1407,308,1375,298,-353.94720458984375,-329.0032043457031,41.787595625731896,0.7657774878125578,0.2393054649414243,-0.5969235575923074,1391.0,303.0,-341.47520446777344,4.989360070791181,2.7831637635461104,0.9285853048597574,0.8951799247133423
11,1,V,1337,288,1302,284,-591.7711791992188,-537.0964965820312,65.04091726974785,0.5381227920701446,0.0614997476651593,-0.8406197961574268,1319.5,286.0,-564.433837890625,7.095404165832423,2.7831637635461104,0.9285853048597574,0.7113732054289692
